Time,Voltage
-7.58000000e-009,3.71875026e-004
-7.56000000e-009,3.70312526e-004
-7.54000000e-009,3.87500027e-004
-7.52000000e-009,3.48437525e-004
-7.50000000e-009,3.59375025e-004
-7.48000000e-009,3.35937524e-004
-7.46000000e-009,3.26562523e-004
-7.44000000e-009,2.89062520e-004
-7.42000000e-009,3.48437525e-004
-7.40000000e-009,3.56250025e-004
-7.38000000e-009,3.81250027e-004
-7.36000000e-009,3.21875023e-004
-7.34000000e-009,2.87500020e-004
-7.32000000e-009,3.15625022e-004
-7.30000000e-009,3.31250023e-004
-7.28000000e-009,3.14062522e-004
-7.26000000e-009,2.68750019e-004
-7.24000000e-009,2.64062519e-004
-7.22000000e-009,3.07812522e-004
-7.20000000e-009,3.65625026e-004
-7.18000000e-009,3.57812525e-004
-7.16000000e-009,3.40625024e-004
-7.14000000e-009,3.03125021e-004
-7.12000000e-009,2.39062517e-004
-7.10000000e-009,2.62500019e-004
-7.08000000e-009,3.26562523e-004
-7.06000000e-009,2.96875021e-004
-7.04000000e-009,2.35937517e-004
-7.02000000e-009,2.29687516e-004
-7.00000000e-009,2.57812518e-004
-6.98000000e-009,2.70312519e-004
-6.96000000e-009,2.39062517e-004
-6.94000000e-009,2.31250016e-004
-6.92000000e-009,2.71875019e-004
-6.90000000e-009,3.39062524e-004
-6.88000000e-009,3.64062526e-004
-6.86000000e-009,3.29687523e-004
-6.84000000e-009,3.09375022e-004
-6.82000000e-009,2.93750021e-004
-6.80000000e-009,2.92187521e-004
-6.78000000e-009,3.15625022e-004
-6.76000000e-009,3.57812525e-004
-6.74000000e-009,3.67187526e-004
-6.72000000e-009,2.82812520e-004
-6.70000000e-009,2.37500017e-004
-6.68000000e-009,2.68750019e-004
-6.66000000e-009,3.39062524e-004
-6.64000000e-009,3.98437528e-004
-6.62000000e-009,3.75000027e-004
-6.60000000e-009,3.15625022e-004
-6.58000000e-009,3.06250022e-004
-6.56000000e-009,3.21875023e-004
-6.54000000e-009,3.81250027e-004
-6.52000000e-009,4.37500031e-004
-6.50000000e-009,4.25000030e-004
-6.48000000e-009,3.98437528e-004
-6.46000000e-009,3.54687525e-004
-6.44000000e-009,3.81250027e-004
-6.42000000e-009,4.23437530e-004
-6.40000000e-009,4.45312532e-004
-6.38000000e-009,4.09375029e-004
-6.36000000e-009,3.98437528e-004
-6.34000000e-009,4.20312530e-004
-6.32000000e-009,4.43750031e-004
-6.30000000e-009,4.62500033e-004
-6.28000000e-009,4.07812529e-004
-6.26000000e-009,3.79687527e-004
-6.24000000e-009,4.14062529e-004
-6.22000000e-009,4.56250032e-004
-6.20000000e-009,4.81250034e-004
-6.18000000e-009,4.67187533e-004
-6.16000000e-009,4.34375031e-004
-6.14000000e-009,4.23437530e-004
-6.12000000e-009,4.67187533e-004
-6.10000000e-009,4.98437535e-004
-6.08000000e-009,4.42187531e-004
-6.06000000e-009,3.45312524e-004
-6.04000000e-009,3.39062524e-004
-6.02000000e-009,3.50000025e-004
-6.00000000e-009,3.60937526e-004
-5.98000000e-009,3.68750026e-004
