position;run_num;file_name
89.5;51;14_Aug_2023_2005_EMM_Run51_e_150Gev
87;52;14_Aug_2023_2011_EMM_Run52_e_150Gev
84.5;53;14_Aug_2023_2023_EMM_Run53_e_150Gev
82;54;14_Aug_2023_2034_EMM_Run54_e_150Gev
79.5;55;14_Aug_2023_2045_EMM_Run55_e_150Gev
77;56;14_Aug_2023_2048_EMM_Run56_e_150Gev
74.5;57;14_Aug_2023_2052_EMM_Run57_e_150Gev
72;58;14_Aug_2023_2056_EMM_Run58_e_150Gev
69.5;59;14_Aug_2023_2059_EMM_Run59_e_150Gev
67;60;14_Aug_2023_2102_EMM_Run60_e_150Gev
64.5;61;14_Aug_2023_2104_EMM_Run61_e_150Gev
62;62;14_Aug_2023_2107_EMM_Run62_e_150Gev
59.5;63;14_Aug_2023_2109_EMM_Run63_e_150Gev
57;64;14_Aug_2023_2113_EMM_Run64_e_150Gev
54.5;65;14_Aug_2023_2115_EMM_Run65_e_150Gev
52;66;14_Aug_2023_2117_EMM_Run66_e_150Gev
49.5;67;14_Aug_2023_2120_EMM_Run67_e_150Gev
47;68;14_Aug_2023_2122_EMM_Run68_e_150Gev
44.5;69;14_Aug_2023_2125_EMM_Run69_e_150Gev
42;70;14_Aug_2023_2134_EMM_Run70_e_150Gev
39.5;71;14_Aug_2023_2142_EMM_Run71_e_150Gev
37;72;14_Aug_2023_2149_EMM_Run72_e_150Gev
34.5;73;14_Aug_2023_2151_EMM_Run73_e_150Gev
32;74;14_Aug_2023_2204_EMM_Run74_e_150Gev
29.5;75;14_Aug_2023_2209_EMM_Run75_e_150Gev
27;76;14_Aug_2023_2215_EMM_Run76_e_150Gev
24.5;77;14_Aug_2023_2218_EMM_Run77_e_150Gev
22;78;14_Aug_2023_2220_EMM_Run78_e_150Gev
19.5;79;14_Aug_2023_2223_EMM_Run79_e_150Gev
17;80;14_Aug_2023_2225_EMM_Run80_e_150Gev
14.5;81;14_Aug_2023_2228_EMM_Run81_e_150Gev
12;82;14_Aug_2023_2231_EMM_Run82_e_150Gev
9.5;83;14_Aug_2023_2233_EMM_Run83_e_150Gev
7;84;14_Aug_2023_2235_EMM_Run84_e_150Gev
4.5;85;14_Aug_2023_2238_EMM_Run85_e_150Gev
2;86;14_Aug_2023_2240_EMM_Run86_e_150Gev
-0.5;87;14_Aug_2023_2242_EMM_Run87_e_150Gev
-3;88;14_Aug_2023_2245_EMM_Run88_e_150Gev
-5.5;89;14_Aug_2023_2247_EMM_Run89_e_150Gev
-8;90;14_Aug_2023_2249_EMM_Run90_e_150Gev
-10.5;91;14_Aug_2023_2251_EMM_Run91_e_150Gev
-13;92;14_Aug_2023_2253_EMM_Run92_e_150Gev
-15.5;93;14_Aug_2023_2256_EMM_Run93_e_150Gev
-18;94;14_Aug_2023_2258_EMM_Run94_e_150Gev
-20.5;95;14_Aug_2023_2303_EMM_Run95_e_150Gev
-23;96;14_Aug_2023_2305_EMM_Run96_e_150Gev
-25.5;97;14_Aug_2023_2307_EMM_Run97_e_150Gev
-28;98;14_Aug_2023_2310_EMM_Run98_e_150Gev
-30.5;99;14_Aug_2023_2312_EMM_Run99_e_150Gev
-33;100;14_Aug_2023_2314_EMM_Run100_e_150Gev
-35.5;101;14_Aug_2023_2317_EMM_Run101_e_150Gev
-38;102;14_Aug_2023_2319_EMM_Run102_e_150Gev
-40.5;103;14_Aug_2023_2322_EMM_Run103_e_150Gev
-43;104;14_Aug_2023_2324_EMM_Run104_e_150Gev
-45.5;105;14_Aug_2023_2326_EMM_Run105_e_150Gev
-48;106;14_Aug_2023_2329_EMM_Run106_e_150Gev
-50.5;107;14_Aug_2023_2331_EMM_Run107_e_150Gev
-53;108;14_Aug_2023_2333_EMM_Run108_e_150Gev
-55.5;109;14_Aug_2023_2335_EMM_Run109_e_150Gev
-58;110;14_Aug_2023_2337_EMM_Run110_e_150Gev
-60.5;111;14_Aug_2023_2341_EMM_Run111_e_150Gev
-63;112;14_Aug_2023_2346_EMM_Run112_e_150Gev
