Time,Voltage
-7.58000000e-009,4.20312530e-004
-7.56000000e-009,3.75000027e-004
-7.54000000e-009,3.17187522e-004
-7.52000000e-009,3.53125025e-004
-7.50000000e-009,3.81250027e-004
-7.48000000e-009,3.56250025e-004
-7.46000000e-009,3.64062526e-004
-7.44000000e-009,3.96875028e-004
-7.42000000e-009,4.26562530e-004
-7.40000000e-009,4.06250029e-004
-7.38000000e-009,3.29687523e-004
-7.36000000e-009,3.20312523e-004
-7.34000000e-009,3.46875025e-004
-7.32000000e-009,3.28125023e-004
-7.30000000e-009,3.43750024e-004
-7.28000000e-009,3.59375025e-004
-7.26000000e-009,4.14062529e-004
-7.24000000e-009,3.93750028e-004
-7.22000000e-009,3.42187524e-004
-7.20000000e-009,3.20312523e-004
-7.18000000e-009,4.31250031e-004
-7.16000000e-009,4.93750035e-004
-7.14000000e-009,4.14062529e-004
-7.12000000e-009,3.53125025e-004
-7.10000000e-009,3.78125027e-004
-7.08000000e-009,4.35937531e-004
-7.06000000e-009,4.10937529e-004
-7.04000000e-009,3.32812524e-004
-7.02000000e-009,3.18750023e-004
-7.00000000e-009,4.23437530e-004
-6.98000000e-009,4.29687530e-004
-6.96000000e-009,3.87500027e-004
-6.94000000e-009,3.79687527e-004
-6.92000000e-009,4.23437530e-004
-6.90000000e-009,4.31250031e-004
-6.88000000e-009,3.64062526e-004
-6.86000000e-009,3.23437523e-004
-6.84000000e-009,3.76562527e-004
-6.82000000e-009,4.54687532e-004
-6.80000000e-009,4.76562534e-004
-6.78000000e-009,4.50000032e-004
-6.76000000e-009,4.45312532e-004
-6.74000000e-009,4.60937533e-004
-6.72000000e-009,4.84375034e-004
-6.70000000e-009,4.96875035e-004
-6.68000000e-009,5.15625036e-004
-6.66000000e-009,5.42187538e-004
-6.64000000e-009,5.21875037e-004
-6.62000000e-009,5.23437537e-004
-6.60000000e-009,5.67187540e-004
-6.58000000e-009,5.59375040e-004
-6.56000000e-009,5.07812536e-004
-6.54000000e-009,4.64062533e-004
-6.52000000e-009,4.35937531e-004
