Time,Voltage
-1.94960000e-008,1.92187713e-004
-1.94920000e-008,4.00000228e-004
-1.94880000e-008,7.50000253e-004
-1.94840000e-008,1.17812528e-003
-1.94800000e-008,1.58906281e-003
-1.94760000e-008,1.88593783e-003
-1.94720000e-008,2.00000034e-003
-1.94680000e-008,1.87656283e-003
-1.94640000e-008,1.57187531e-003
-1.94600000e-008,1.16250028e-003
-1.94560000e-008,7.42187752e-004
-1.94520000e-008,4.00000228e-004
-1.94480000e-008,1.90625213e-004
-1.94440000e-008,1.32812709e-004
-1.94400000e-008,1.92187713e-004
-1.94360000e-008,3.04687721e-004
-1.94320000e-008,4.00000228e-004
-1.94280000e-008,4.28125230e-004
-1.94240000e-008,3.51562725e-004
-1.94200000e-008,1.67187712e-004
-1.94160000e-008,-9.84373073e-005
-1.94120000e-008,-3.99999829e-004
-1.94080000e-008,-6.64062347e-004
-1.94040000e-008,-8.60937361e-004
-1.94000000e-008,-9.56249868e-004
-1.93960000e-008,-9.35937367e-004
-1.93920000e-008,-7.99999857e-004
-1.93880000e-008,-5.59374840e-004
-1.93840000e-008,-2.73437320e-004
-1.93800000e-008,9.37520034e-006
-1.93760000e-008,2.43750217e-004
-1.93720000e-008,4.00000228e-004
-1.93680000e-008,4.81250234e-004
-1.93640000e-008,4.85937734e-004
-1.93600000e-008,4.43750231e-004
-1.93560000e-008,4.01562728e-004
-1.93520000e-008,4.00000228e-004
-1.93480000e-008,4.70312733e-004
-1.93440000e-008,6.14062743e-004
-1.93400000e-008,8.07812757e-004
-1.93360000e-008,1.01718777e-003
-1.93320000e-008,1.20000028e-003
-1.93280000e-008,1.30312529e-003
-1.93240000e-008,1.31406279e-003
-1.93200000e-008,1.22343779e-003
-1.93160000e-008,1.04531277e-003
-1.93120000e-008,8.00000256e-004
-1.93080000e-008,5.25000237e-004
-1.93040000e-008,2.76562719e-004
-1.93000000e-008,8.75002059e-005
-1.92960000e-008,-9.37480099e-006
-1.92920000e-008,1.99675600e-010
-1.92880000e-008,1.10937708e-004
-1.92840000e-008,3.15625222e-004
-1.92800000e-008,5.90625241e-004
-1.92760000e-008,9.00000263e-004
-1.92720000e-008,1.20000028e-003
-1.92680000e-008,1.42812530e-003
-1.92640000e-008,1.55625031e-003
-1.92600000e-008,1.56093781e-003
-1.92560000e-008,1.43437530e-003
-1.92520000e-008,1.20000028e-003
-1.92480000e-008,8.92187763e-004
-1.92440000e-008,5.96875242e-004
-1.92400000e-008,3.85937727e-004
-1.92360000e-008,3.12500222e-004
-1.92320000e-008,4.00000228e-004
-1.92280000e-008,6.31250244e-004
-1.92240000e-008,9.23437765e-004
-1.92200000e-008,1.17500028e-003
-1.92160000e-008,1.28906279e-003
-1.92120000e-008,1.20000028e-003
-1.92080000e-008,8.84375262e-004
-1.92040000e-008,4.17187729e-004
-1.92000000e-008,-9.68748072e-005
-1.91960000e-008,-5.37499838e-004
-1.91920000e-008,-7.99999857e-004
-1.91880000e-008,-8.07812358e-004
-1.91840000e-008,-6.01562343e-004
-1.91800000e-008,-2.60937319e-004
-1.91760000e-008,1.06250207e-004
-1.91720000e-008,4.00000228e-004
-1.91680000e-008,5.60937739e-004
-1.91640000e-008,5.79687741e-004
-1.91600000e-008,5.09375236e-004
-1.91560000e-008,4.26562730e-004
-1.91520000e-008,4.00000228e-004
-1.91480000e-008,4.70312733e-004
-1.91440000e-008,6.07812743e-004
-1.91400000e-008,7.53125253e-004
-1.91360000e-008,8.35937759e-004
-1.91320000e-008,8.00000256e-004
-1.91280000e-008,6.29687744e-004
-1.91240000e-008,3.82812727e-004
-1.91200000e-008,1.37500209e-004
-1.91160000e-008,-1.24998012e-005
-1.91120000e-008,1.99675600e-010
-1.91080000e-008,2.03125214e-004
-1.91040000e-008,5.23437737e-004
-1.91000000e-008,8.65625261e-004
-1.90960000e-008,1.11875028e-003
-1.90920000e-008,1.20000028e-003
-1.90880000e-008,1.06875028e-003
-1.90840000e-008,7.84375255e-004
-1.90800000e-008,4.40625231e-004
-1.90760000e-008,1.48437710e-004
-1.90720000e-008,1.99675600e-010
-1.90680000e-008,5.46877035e-005
-1.90640000e-008,2.84375220e-004
-1.90600000e-008,6.15625243e-004
-1.90560000e-008,9.53125267e-004
-1.90520000e-008,1.20000028e-003
-1.90480000e-008,1.28750029e-003
-1.90440000e-008,1.20312528e-003
-1.90400000e-008,9.82812769e-004
-1.90360000e-008,6.87500248e-004
-1.90320000e-008,4.00000228e-004
-1.90280000e-008,2.01562714e-004
-1.90240000e-008,1.39062710e-004
-1.90200000e-008,2.31250216e-004
-1.90160000e-008,4.62500232e-004
-1.90120000e-008,8.00000256e-004
-1.90080000e-008,1.16718778e-003
-1.90040000e-008,1.49062531e-003
-1.90000000e-008,1.69843782e-003
-1.89960000e-008,1.74062532e-003
-1.89920000e-008,1.60000031e-003
-1.89880000e-008,1.29687529e-003
-1.89840000e-008,9.26562765e-004
-1.89800000e-008,5.92187742e-004
-1.89760000e-008,3.93750228e-004
-1.89720000e-008,4.00000228e-004
-1.89680000e-008,6.25000244e-004
-1.89640000e-008,1.00937527e-003
-1.89600000e-008,1.44375030e-003
-1.89560000e-008,1.80781283e-003
-1.89520000e-008,2.00000034e-003
-1.89480000e-008,1.96406284e-003
-1.89440000e-008,1.73593782e-003
-1.89400000e-008,1.39531280e-003
-1.89360000e-008,1.05000027e-003
-1.89320000e-008,8.00000256e-004
-1.89280000e-008,6.96875249e-004
-1.89240000e-008,7.50000253e-004
-1.89200000e-008,9.06250264e-004
-1.89160000e-008,1.08281278e-003
-1.89120000e-008,1.20000028e-003
-1.89080000e-008,1.19531278e-003
-1.89040000e-008,1.06718778e-003
-1.89000000e-008,8.50000260e-004
-1.88960000e-008,6.04687742e-004
-1.88920000e-008,4.00000228e-004
-1.88880000e-008,3.15625222e-004
-1.88840000e-008,3.65625226e-004
-1.88800000e-008,5.48437738e-004
-1.88760000e-008,8.42187759e-004
-1.88720000e-008,1.20000028e-003
-1.88680000e-008,1.54843781e-003
-1.88640000e-008,1.83906283e-003
-1.88600000e-008,2.02968784e-003
-1.88560000e-008,2.08593785e-003
-1.88520000e-008,2.00000034e-003
-1.88480000e-008,1.77500033e-003
-1.88440000e-008,1.45312530e-003
-1.88400000e-008,1.07968778e-003
-1.88360000e-008,7.09375250e-004
-1.88320000e-008,4.00000228e-004
-1.88280000e-008,2.18750215e-004
-1.88240000e-008,1.79687712e-004
-1.88200000e-008,2.79687719e-004
-1.88160000e-008,4.98437735e-004
-1.88120000e-008,8.00000256e-004
-1.88080000e-008,1.12343778e-003
-1.88040000e-008,1.40781280e-003
-1.88000000e-008,1.60000031e-003
-1.87960000e-008,1.66875032e-003
-1.87920000e-008,1.60000031e-003
-1.87880000e-008,1.40000030e-003
-1.87840000e-008,1.12500028e-003
-1.87800000e-008,8.28125258e-004
-1.87760000e-008,5.67187740e-004
-1.87720000e-008,4.00000228e-004
-1.87680000e-008,3.73437726e-004
-1.87640000e-008,4.96875235e-004
-1.87600000e-008,7.65625254e-004
-1.87560000e-008,1.15000028e-003
-1.87520000e-008,1.60000031e-003
-1.87480000e-008,2.04218784e-003
-1.87440000e-008,2.39531287e-003
-1.87400000e-008,2.59218788e-003
-1.87360000e-008,2.59531288e-003
-1.87320000e-008,2.40000037e-003
-1.87280000e-008,2.01875034e-003
-1.87240000e-008,1.57031281e-003
-1.87200000e-008,1.16093778e-003
-1.87160000e-008,8.84375262e-004
-1.87120000e-008,8.00000256e-004
-1.87080000e-008,9.09375264e-004
-1.87040000e-008,1.14843778e-003
-1.87000000e-008,1.41562530e-003
